item_code,item_name,description,brand,item_group,stock_uom,uom_conversions,barcode,manufacturer_part_no,disabled,available_qty,list_price
ACM-GIWI0348,Bosco GI Wire #16 Hard Drawn,"GI Wire #16, grade: Hard Drawn. Brand Bosco. Sold per Kg.",Bosco,All Items > Hardware > GI Wire,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",951922821605,BOS972241,0,40,324.22
ACM-HEXB0313,Stallion Hex Bolt M6x50 Stainless 304,"Hex Bolt M6x50, finish: Stainless 304. Brand Stallion. Sold per Pcs.",Stallion,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,STA402107,0,150,457.13
ACM-HEXB0957,Bosco Hex Bolt M8x30 Zinc Plated,"Hex Bolt M8x30, finish: Zinc Plated. Brand Bosco. Sold per Pcs.",Bosco,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,3,329.07
ACM-SAFE0410,Bosco Safety Helmet Yellow Standard,"Safety Helmet Yellow, grade: Standard. Brand Bosco. Sold per Nos.",Bosco,All Items > Hardware > Safety Helmet,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",913737574976,,0,900,396.42
ACM-PVCP1055B,Vermont PVC Pipe 50mm Class D (Bulk),"PVC Pipe 50mm, grade: Class D. Brand Vermont. Sold per Length.",Vermont,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":144.0}]",920260342855,,0,3,319.11
ACM-SELF0548,"Remax Self Drilling Screw #12 x 2"" Stainless 410","Self Drilling Screw #12 x 2"", finish: Stainless 410. Brand Remax. Sold per Packet.",Remax,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",923666142123,REM228705,0,40,179.45
ACM-HEXB1044,Hitex Hex Bolt M12x60 HDG,"Hex Bolt M12x60, finish: HDG. Brand Hitex. Sold per Pcs.",Hitex,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,HIT741969,0,0,65.49
ACM-CABL0074,Hitex Cable Tie 450mm Natural,"Cable Tie 450mm, colour: Natural. Brand Hitex. Sold per Packet.",Hitex,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,HIT498000,0,0,171.04
ACM-MASK0323,Remax Masking Tape 18mm General,"Masking Tape 18mm, grade: General. Brand Remax. Sold per Roll.",Remax,All Items > Hardware > Masking Tape,Roll,"[{""uom"":""Roll"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",942214107152,REM911234,0,150,233.47
ACM-HEXB0902,Vermont Hex Bolt M10x50 HDG,"Hex Bolt M10x50, finish: HDG. Brand Vermont. Sold per Pcs.",Vermont,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,3,54.64
ACM-NITR0993,Remax Nitrile Glove XL Black,"Nitrile Glove XL, colour: Black. Brand Remax. Sold per Box.",Remax,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",,REM164399,0,3,266.92
ACM-PVCP0647,Hitex PVC Pipe 20mm Class D,"PVC Pipe 20mm, grade: Class D. Brand Hitex. Sold per Length.",Hitex,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",939983031120,HIT778930,0,900,32.08
ACM-MASK0761,Hitex Masking Tape 24mm High Temp,"Masking Tape 24mm, grade: High Temp. Brand Hitex. Sold per Roll.",Hitex,All Items > Hardware > Masking Tape,Roll,"[{""uom"":""Roll"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,HIT110273,0,3,37.14
ACM-CABL0209,Remax Cable Tie 200mm White,"Cable Tie 200mm, colour: White. Brand Remax. Sold per Packet.",Remax,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,REM455161,0,150,88.91
ACM-WALL0442,Kanto Wall Plug 6mm Red,"Wall Plug 6mm, colour: Red. Brand Kanto. Sold per Packet.",Kanto,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",936261249937,,0,3,432.49
ACM-MASK0459,Remax Masking Tape 12mm General,"Masking Tape 12mm, grade: General. Brand Remax. Sold per Roll.",Remax,All Items > Hardware > Masking Tape,Roll,"[{""uom"":""Roll"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,12,281.74
ACM-MASK0221,Tolsen Masking Tape 12mm General,"Masking Tape 12mm, grade: General. Brand Tolsen. Sold per Roll.",Tolsen,All Items > Hardware > Masking Tape,Roll,"[{""uom"":""Roll"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",978876322187,TOL339415,0,12,146.45
ACM-SAFE0489,Hitex Safety Helmet Red Ratchet,"Safety Helmet Red, grade: Ratchet. Brand Hitex. Sold per Nos.",Hitex,All Items > Hardware > Safety Helmet,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",968636336573,HIT228677,0,150,104.2
ACM-HOSE0908,Kanto Hose Clip 13-19mm SS304,"Hose Clip 13-19mm, material: SS304. Brand Kanto. Sold per Pcs.",Kanto,All Items > Hardware > Hose Clip,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",918784686763,KAN021550,0,900,332.18
ACM-HEXB0435,Kanto Hex Bolt M8x75 Stainless 316,"Hex Bolt M8x75, finish: Stainless 316. Brand Kanto. Sold per Pcs.",Kanto,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,KAN679946,0,150,441.76
ACM-CABL0852,Tolsen Cable Tie 150mm Black,"Cable Tie 150mm, colour: Black. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,,0,40,172.78
ACM-PVCP0432,Kanto PVC Pipe 50mm Class E,"PVC Pipe 50mm, grade: Class E. Brand Kanto. Sold per Length.",Kanto,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",,,0,150,33.83
ACM-HEXB0690,Tolsen Hex Bolt M8x75 Zinc Plated,"Hex Bolt M8x75, finish: Zinc Plated. Brand Tolsen. Sold per Pcs.",Tolsen,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,12,207.27
ACM-HEXB0028,Tolsen Hex Bolt M8x75 Stainless 316,"Hex Bolt M8x75, finish: Stainless 316. Brand Tolsen. Sold per Pcs.",Tolsen,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,0,332.61
ACM-SELF0529,"Bosco Self Drilling Screw #10 x 1"" Zinc Plated","Self Drilling Screw #10 x 1"", finish: Zinc Plated. Brand Bosco. Sold per Packet.",Bosco,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,,0,900,326.96
ACM-NITR0569,Bosco Nitrile Glove M Blue,"Nitrile Glove M, colour: Blue. Brand Bosco. Sold per Box.",Bosco,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",980927310905,BOS525527,0,12,216.53
ACM-PVCP0547,Vermont PVC Pipe 32mm Class E,"PVC Pipe 32mm, grade: Class E. Brand Vermont. Sold per Length.",Vermont,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",937627281933,VER611991,0,12,320.69
ACM-HEXB0771,Kanto Hex Bolt M10x50 Zinc Plated,"Hex Bolt M10x50, finish: Zinc Plated. Brand Kanto. Sold per Pcs.",Kanto,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,40,78.84
ACM-NITR0331,Tolsen Nitrile Glove L Blue,"Nitrile Glove L, colour: Blue. Brand Tolsen. Sold per Box.",Tolsen,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",,,0,150,392.75
ACM-HEXB0083,Stallion Hex Bolt M8x75 Zinc Plated,"Hex Bolt M8x75, finish: Zinc Plated. Brand Stallion. Sold per Pcs.",Stallion,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",987945048941,,0,0,328.66
ACM-PVCP0075,Bosco PVC Pipe 32mm Class C,"PVC Pipe 32mm, grade: Class C. Brand Bosco. Sold per Length.",Bosco,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",,BOS139537,0,150,440.59
ACM-MASK1045,Tolsen Masking Tape 48mm General,"Masking Tape 48mm, grade: General. Brand Tolsen. Sold per Roll.",Tolsen,All Items > Hardware > Masking Tape,Roll,"[{""uom"":""Roll"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",936751165768,TOL239185,0,150,32.07
ACM-HEXB0445-OLD,Hitex Hex Bolt M6x30 HDG,"Hex Bolt M6x30, finish: HDG. Brand Hitex. Sold per Pcs. (superseded)",Hitex,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",930911740411,,1,0,324.31
ACM-HOSE0372,Kanto Hose Clip 25-38mm SS304,"Hose Clip 25-38mm, material: SS304. Brand Kanto. Sold per Pcs.",Kanto,All Items > Hardware > Hose Clip,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",928633630228,,0,0,146.26
ACM-WALL0680,Remax Wall Plug 6mm Blue,"Wall Plug 6mm, colour: Blue. Brand Remax. Sold per Packet.",Remax,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",968506664377,,0,40,245.38
ACM-HEXB0764,Remax Hex Bolt M12x60 Stainless 304,"Hex Bolt M12x60, finish: Stainless 304. Brand Remax. Sold per Pcs.",Remax,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",915570491187,,0,3,218.61
ACM-HEXB0710,Kanto Hex Bolt M12x60 HDG,"Hex Bolt M12x60, finish: HDG. Brand Kanto. Sold per Pcs.",Kanto,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",947644776937,,0,12,407.32
ACM-CABL0895,Hitex Cable Tie 100mm Black,"Cable Tie 100mm, colour: Black. Brand Hitex. Sold per Packet.",Hitex,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,HIT463205,0,900,396.98
ACM-GIWI0789,Vermont GI Wire #18 Hard Drawn,"GI Wire #18, grade: Hard Drawn. Brand Vermont. Sold per Kg.",Vermont,All Items > Hardware > GI Wire,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,40,262.22
ACM-WALL0907,Hitex Wall Plug 10mm Brown,"Wall Plug 10mm, colour: Brown. Brand Hitex. Sold per Packet.",Hitex,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",937941849002,HIT081077,0,150,246.53
ACM-MASK0878,Tolsen Masking Tape 12mm High Temp,"Masking Tape 12mm, grade: High Temp. Brand Tolsen. Sold per Roll.",Tolsen,All Items > Hardware > Masking Tape,Roll,"[{""uom"":""Roll"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,TOL473413,0,0,466.57
ACM-NITR0487,Stallion Nitrile Glove S Black,"Nitrile Glove S, colour: Black. Brand Stallion. Sold per Box.",Stallion,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",,STA999340,0,40,266.43
ACM-HEXB0253,Stallion Hex Bolt M8x75 HDG,"Hex Bolt M8x75, finish: HDG. Brand Stallion. Sold per Pcs.",Stallion,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",913968734575,STA421355,0,0,292.33
ACM-WALL0684,Bosco Wall Plug 10mm Red,"Wall Plug 10mm, colour: Red. Brand Bosco. Sold per Packet.",Bosco,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",902053075801,,0,0,271.09
ACM-SELF0229,"Tolsen Self Drilling Screw #8 x 1"" Zinc Plated","Self Drilling Screw #8 x 1"", finish: Zinc Plated. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,,0,12,23.73
ACM-HEXB0806,Tolsen Hex Bolt M10x50 Stainless 316,"Hex Bolt M10x50, finish: Stainless 316. Brand Tolsen. Sold per Pcs.",Tolsen,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",979867289770,,0,0,435.91
ACM-HEXB1044-OLD,Hitex Hex Bolt M12x60 HDG,"Hex Bolt M12x60, finish: HDG. Brand Hitex. Sold per Pcs. (superseded)",Hitex,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,HIT741969,1,0,65.49
ACM-HEXB0456,Hitex Hex Bolt M8x75 Zinc Plated,"Hex Bolt M8x75, finish: Zinc Plated. Brand Hitex. Sold per Pcs.",Hitex,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,3,240.35
ACM-BALL0729,"Remax Ball Valve 1"" PVC","Ball Valve 1"", material: PVC. Brand Remax. Sold per Nos.",Remax,All Items > Hardware > Ball Valve,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,0,284.42
ACM-MISC007,MISC CHARGE,,,All Items > Hardware > Misc,Nos,"[{""uom"": ""Nos"", ""conversion_factor"": 1.0}]",,,0,0,0.0
ACM-CABL0635,Stallion Cable Tie 450mm Natural,"Cable Tie 450mm, colour: Natural. Brand Stallion. Sold per Packet.",Stallion,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",952993247717,,0,40,163.64
ACM-HEXB0038,Bosco Hex Bolt M10x75 Zinc Plated,"Hex Bolt M10x75, finish: Zinc Plated. Brand Bosco. Sold per Pcs.",Bosco,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",978438517302,BOS201416,0,150,345.24
ACM-CABL0251,Kanto Cable Tie 200mm White,"Cable Tie 200mm, colour: White. Brand Kanto. Sold per Packet.",Kanto,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",980006294599,KAN380049,0,40,199.06
ACM-MASK0342,Vermont Masking Tape 48mm General,"Masking Tape 48mm, grade: General. Brand Vermont. Sold per Roll.",Vermont,All Items > Hardware > Masking Tape,Roll,"[{""uom"":""Roll"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",980737684317,,0,0,57.07
ACM-MASK0521,Bosco Masking Tape 18mm General,"Masking Tape 18mm, grade: General. Brand Bosco. Sold per Roll.",Bosco,All Items > Hardware > Masking Tape,Roll,"[{""uom"":""Roll"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,0,181.31
ACM-PVCP0171,Tolsen PVC Pipe 32mm Class E,"PVC Pipe 32mm, grade: Class E. Brand Tolsen. Sold per Length.",Tolsen,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",987784831179,,0,0,393.52
ACM-HOSE0597,Bosco Hose Clip 38-50mm SS304,"Hose Clip 38-50mm, material: SS304. Brand Bosco. Sold per Pcs.",Bosco,All Items > Hardware > Hose Clip,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",925924081969,,0,3,317.86
ACM-PVCP0541,Stallion PVC Pipe 15mm Class E,"PVC Pipe 15mm, grade: Class E. Brand Stallion. Sold per Length.",Stallion,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",979418361967,STA243762,0,900,184.98
ACM-HEXB0787,Stallion Hex Bolt M10x75 Stainless 304,"Hex Bolt M10x75, finish: Stainless 304. Brand Stallion. Sold per Pcs.",Stallion,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",999591967010,STA844447,0,40,44.25
ACM-PVCP0166,Hitex PVC Pipe 40mm Class E,"PVC Pipe 40mm, grade: Class E. Brand Hitex. Sold per Length.",Hitex,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",,HIT276375,0,0,137.63
ACM-MISC002,DELIVERY FEE,,,All Items > Hardware > Misc,Nos,"[{""uom"": ""Nos"", ""conversion_factor"": 1.0}]",,,0,0,0.0
ACM-HEXB0231,Bosco Hex Bolt M6x50 Zinc Plated,"Hex Bolt M6x50, finish: Zinc Plated. Brand Bosco. Sold per Pcs.",Bosco,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",958976616064,BOS284179,0,12,443.78
ACM-HEXB0479,Stallion Hex Bolt M6x30 HDG,"Hex Bolt M6x30, finish: HDG. Brand Stallion. Sold per Pcs.",Stallion,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,STA669868,0,3,356.54
ACM-WALL0047,Tolsen Wall Plug 10mm Blue,"Wall Plug 10mm, colour: Blue. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,TOL532513,0,40,235.08
ACM-NITR0366,Hitex Nitrile Glove S Blue,"Nitrile Glove S, colour: Blue. Brand Hitex. Sold per Box.",Hitex,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",,HIT284082,0,3,23.39
ACM-GIWI0728,Kanto GI Wire #14 Soft,"GI Wire #14, grade: Soft. Brand Kanto. Sold per Kg.",Kanto,All Items > Hardware > GI Wire,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,150,237.53
ACM-NITR0406,Kanto Nitrile Glove XL Black,"Nitrile Glove XL, colour: Black. Brand Kanto. Sold per Box.",Kanto,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",,KAN506622,0,3,216.42
ACM-WALL0029,Tolsen Wall Plug 12mm Red,"Wall Plug 12mm, colour: Red. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,3,474.48
ACM-HEXB0332,Hitex Hex Bolt M12x60 Zinc Plated,"Hex Bolt M12x60, finish: Zinc Plated. Brand Hitex. Sold per Pcs.",Hitex,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,0,82.16
ACM-WALL0264,Stallion Wall Plug 10mm Blue,"Wall Plug 10mm, colour: Blue. Brand Stallion. Sold per Packet.",Stallion,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",955245790429,STA654232,0,0,359.37
ACM-CABL0245,Remax Cable Tie 300mm Natural,"Cable Tie 300mm, colour: Natural. Brand Remax. Sold per Packet.",Remax,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",977151858631,,0,12,181.42
ACM-WALL0664,Stallion Wall Plug 8mm Red,"Wall Plug 8mm, colour: Red. Brand Stallion. Sold per Packet.",Stallion,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",922563682985,,0,0,26.06
ACM-HEXB0734,Hitex Hex Bolt M8x30 HDG,"Hex Bolt M8x30, finish: HDG. Brand Hitex. Sold per Pcs.",Hitex,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,HIT562138,0,3,273.64
ACM-NITR0262,Remax Nitrile Glove S Black,"Nitrile Glove S, colour: Black. Brand Remax. Sold per Box.",Remax,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",984217761613,REM937222,0,0,444.46
ACM-GIWI0389,Hitex GI Wire #14 Hard Drawn,"GI Wire #14, grade: Hard Drawn. Brand Hitex. Sold per Kg.",Hitex,All Items > Hardware > GI Wire,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,HIT252945,0,150,110.76
ACM-CABL0843,Stallion Cable Tie 100mm Natural,"Cable Tie 100mm, colour: Natural. Brand Stallion. Sold per Packet.",Stallion,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,STA604782,0,900,282.49
ACM-MASK1058,Kanto Masking Tape 18mm General,"Masking Tape 18mm, grade: General. Brand Kanto. Sold per Roll.",Kanto,All Items > Hardware > Masking Tape,Roll,"[{""uom"":""Roll"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,3,11.71
ACM-CABL1003,Stallion Cable Tie 370mm Black,"Cable Tie 370mm, colour: Black. Brand Stallion. Sold per Packet.",Stallion,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",981109999147,,0,3,197.91
ACM-PVCP0846,Bosco PVC Pipe 50mm Class D,"PVC Pipe 50mm, grade: Class D. Brand Bosco. Sold per Length.",Bosco,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",,BOS544132,0,40,471.22
ACM-SELF0250,"Hitex Self Drilling Screw #12 x 2"" Stainless 410","Self Drilling Screw #12 x 2"", finish: Stainless 410. Brand Hitex. Sold per Packet.",Hitex,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,HIT147358,0,0,33.19
ACM-ANGL0473,"Stallion Angle Grinder Disc 7"" Grinding","Angle Grinder Disc 7"", grade: Grinding. Brand Stallion. Sold per Packet.",Stallion,All Items > Hardware > Angle Grinder Disc,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,3,8.99
ACM-NITR1012,Remax Nitrile Glove L Blue,"Nitrile Glove L, colour: Blue. Brand Remax. Sold per Box.",Remax,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",,,0,900,15.1
ACM-BALL0346,"Kanto Ball Valve 1-1/4"" Brass","Ball Valve 1-1/4"", material: Brass. Brand Kanto. Sold per Nos.",Kanto,All Items > Hardware > Ball Valve,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",900533416919,KAN316469,0,0,477.79
ACM-CABL0697,Remax Cable Tie 200mm Natural,"Cable Tie 200mm, colour: Natural. Brand Remax. Sold per Packet.",Remax,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,,0,150,278.9
ACM-PVCP0709,Remax PVC Pipe 20mm Class E,"PVC Pipe 20mm, grade: Class E. Brand Remax. Sold per Length.",Remax,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",960510306097,REM984319,0,0,72.29
ACM-PVCP1065,Tolsen PVC Pipe 20mm Class C,"PVC Pipe 20mm, grade: Class C. Brand Tolsen. Sold per Length.",Tolsen,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",,,0,900,300.79
ACM-ANGL0016,"Bosco Angle Grinder Disc 4"" Flap","Angle Grinder Disc 4"", grade: Flap. Brand Bosco. Sold per Packet.",Bosco,All Items > Hardware > Angle Grinder Disc,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",909134442770,BOS879207,0,0,270.96
ACM-SELF1053,"Kanto Self Drilling Screw #10 x 1"" Stainless 410","Self Drilling Screw #10 x 1"", finish: Stainless 410. Brand Kanto. Sold per Packet.",Kanto,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",929195722443,KAN208004,0,3,30.48
ACM-PVCP0441,Tolsen PVC Pipe 20mm Class D,"PVC Pipe 20mm, grade: Class D. Brand Tolsen. Sold per Length.",Tolsen,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",,,0,900,177.08
ACM-BALL0865,"Bosco Ball Valve 1/2"" PVC","Ball Valve 1/2"", material: PVC. Brand Bosco. Sold per Nos.",Bosco,All Items > Hardware > Ball Valve,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",929187708552,BOS440682,0,3,323.92
